Table_Name,Column_Name,Range_Min,Range_Max,Result Set Returned,Avg_Execution_Time,Med_Execution_Time,Std_Deviation
lineitem_table,L_EXTENDEDPRICE,86495.13142,86782.39649,5259,149.9815239906311,149.55134534835815,6.665589359181489
lineitem_table,L_EXTENDEDPRICE,35584.31309,90188.19046,3018933,117.2828251361847,99.22316932678223,29.35188526511467
lineitem_table,L_EXTENDEDPRICE,86495.13142,86782.39649,5259,38.3468355178833,28.864490032196045,14.219883273433787
lineitem_table,L_EXTENDEDPRICE,35584.31309,90188.19046,3018933,552.9998233318329,275.46618366241455,640.5372496493848
order_table,O_TOTALPRICE,382990.50205,427751.48937,6010,13.30797791481018,15.505098342895508,6.676993496106136
order_table,O_TOTALPRICE,411926.78334,514499.49658,2163,5.78448257446289,4.253543853759766,2.386800759481225
order_table,O_TOTALPRICE,382990.50205,427751.48937,41309,35.96560492515564,32.231581687927246,10.215004868038607
order_table,O_TOTALPRICE,411926.78334,514499.49658,14979,23.182725572586058,22.018388748168945,3.125377079569728
lineitem_table,L_ORDERKEY,3146076,5332750,2187869,43.18846316337586,42.49166297912598,4.635598054807636
lineitem_table,L_ORDERKEY,773968,5884814,5111215,180.94139842987062,195.8398129940033,33.995502398787764
lineitem_table,L_ORDERKEY,3146076,5332750,2187869,89.59906697273254,85.3261284828186,10.779190705836832
lineitem_table,L_ORDERKEY,773968,5884814,5111215,363.65711131095884,377.5718083381653,41.44547418594897
order_table,O_ORDERKEY,3146076,5332750,2187869,110.01479139328003,102.75714445114136,29.410016308160035
order_table,O_ORDERKEY,773968,5884814,5111215,370.0590963840485,369.5309054851532,49.31370693933351
order_table,O_ORDERKEY,3146076,5332750,0,7.468736362457276,0.008063554763793945,14.917453002108259
order_table,O_ORDERKEY,773968,5884814,0,0.006394195556640625,0.0,0.012291854900938608
