Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,104806.4126,104935.72677,4,14.39977502822876,30.31963348388672,17.117204666137695,5.608185570240783,19.44627137184143
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,62194.88676,69426.16765,371119,17.456987619400024,22.81094765663147,17.822797298431396,2.0157063986951087,18.79944519996643
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,82529.47465,97033.3882,206257,15.46814751625061,23.66845440864563,15.848928451538086,3.1805697683733563,17.325680541992188
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,28910.03082,59249.75678,2431568,45.655526876449585,54.802634477615356,50.61003637313843,3.0389440580100207,49.99571857452393
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,4921.55121,80691.48912,5387548,112.74354887008667,212.75133800506592,185.38190245628357,34.398157485084425,175.44083108901978
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,61669.43043,87961.80517,961459,26.930570363998413,44.753406047821045,27.888036489486694,8.288999447066088,34.17764105796814
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,96069.99969,98703.13073,11883,13.145476818084717,17.61491894721985,14.658591032028198,1.5698420586696515,14.738361358642578
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,79139.16528,83644.30638,116118,14.767545700073242,16.263694286346436,14.79653263092041,0.5779490714540053,15.115548801422118
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,99742.93146,100442.80377,1530,12.892621517181396,13.690187931060791,12.970576763153076,0.3028655131799082,13.091112184524537
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,90702.34672,102049.94565,68799,13.68017053604126,14.556668281555176,13.727122068405151,0.34228893449331965,13.9488130569458
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,104806.4126,104935.72677,4,12.949567794799805,13.384336948394775,13.334370851516724,0.19469972526910104,13.196047306060791
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,62194.88676,69426.16765,371119,26.10807466506958,40.259963035583496,26.999547958374023,5.462259094375745,29.365394115447998
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,82529.47465,97033.3882,206257,24.00326108932495,24.502976655960083,24.20812678337097,0.16932766181500808,24.20934090614319
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,28910.03082,59249.75678,2431568,72.75236344337463,97.37627172470093,95.99806094169617,9.307793634197745,90.68210296630859
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,4921.55121,80691.48912,5387548,272.3541316986084,455.5787739753723,402.04491353034973,61.88424649363463,388.982503080368
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,61669.43043,87961.80517,961459,37.82037544250488,99.46706104278564,39.99111294746399,23.57557873175648,54.85300874710083
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,96069.99969,98703.13073,11883,17.733850955963135,18.794244527816772,18.43645167350769,0.41812124351842606,18.276940774917602
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,79139.16528,83644.30638,116118,20.639189958572388,23.321653604507446,20.85906434059143,1.0120542989795636,21.39055814743042
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,99742.93146,100442.80377,1530,16.60949444770813,17.210129976272583,16.776398181915283,0.2235392111262169,16.849368715286253
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,90702.34672,102049.94565,68799,18.85120964050293,21.80152416229248,19.390902996063232,1.0371588764595154,19.780679798126222
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,199225.57911,514274.55312,454859,5.021098375320435,5.132065057754517,5.116072654724121,0.04218957223049391,5.0948645114898685
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,309954.48123,383414.22875,60854,2.3956308364868164,3.200164318084717,2.8123908042907715,0.30409300196349826,2.822783899307251
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,175534.26882,527122.39556,578947,5.783711910247803,6.265414476394653,5.822648763656616,0.18219888294921932,5.908419132232666
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,194643.71609,373399.5691,468067,5.092087984085083,5.12906289100647,5.114054441452026,0.014310563939457652,5.1100754737854
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,286059.86232,290484.96108,10519,2.1357991695404053,2.522536277770996,2.343635082244873,0.15254861390513658,2.317669486999512
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,351422.57965,543708.50264,21147,2.1487350463867188,2.4156179428100586,2.2227277755737305,0.11290219167386227,2.2758901119232178
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,483487.22007,516424.21249,50,2.084806442260742,2.3096811771392822,2.1637613773345947,0.07986252024158828,2.1717578411102294
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,233894.15535,360053.40751,276559,3.7578506469726562,4.060676574707031,4.021676540374756,0.12553363455050162,3.939949321746826
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,498591.96036,502443.71085,6,1.9588780403137207,2.5765042304992676,2.1807541847229004,0.22055191246633685,2.1875476837158203
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,245368.67429,379083.62205,237450,3.567960739135742,3.7968060970306396,3.7618470191955566,0.08126654463852682,3.7226665019989014
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,199225.57911,514274.55312,2745541,69.63712763786316,128.4564847946167,98.62355875968933,19.160491811467836,100.13709168434143
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,309954.48123,383414.22875,405446,22.8689124584198,33.06305813789368,23.41559672355652,4.455410067115032,26.83644127845764
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,175534.26882,527122.39556,3375122,91.49564218521118,788.7477879524231,160.9388952255249,259.1012909304497,273.5524947166443
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,194643.71609,373399.5691,2798603,117.86057043075562,144.32640147209167,123.92507648468018,9.538727395565699,127.43907113075257
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,286059.86232,290484.96108,67247,23.470569133758545,34.916038036346436,26.885610342025757,4.2131823279306575,28.737154245376587
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,351422.57965,543708.50264,144105,21.941407203674316,29.23027276992798,24.346068859100342,2.498937798255999,24.875556850433348
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,483487.22007,516424.21249,349,3.5039761066436768,4.006707191467285,3.718891143798828,0.1855607986379126,3.7154775142669676
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,233894.15535,360053.40751,1731776,47.856611490249634,49.0738959312439,48.49824571609497,0.4658468366444819,48.51842947006226
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,498591.96036,502443.71085,42,2.320651054382324,4.369499683380127,2.4915950298309326,0.7877523404706834,2.801397371292114
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,245368.67429,379083.62205,1507935,43.622050762176514,47.00407934188843,44.29864954948425,1.1996200545333038,44.7475905418396
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2734631,5710646,2976582,47.226969718933105,52.33005356788635,51.2016966342926,1.7674577652063286,50.62063026428223
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2375508,5568153,3193439,57.068339109420776,79.09273624420166,57.85888719558716,8.607725503337068,61.88918085098267
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,751274,2941974,2189870,33.269941568374634,35.41673445701599,33.89062571525574,0.7680954948071897,34.1240749835968
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2772241,4881947,2110834,32.937169551849365,35.5636248588562,33.164021730422974,0.9804955775752937,33.713705921173094
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,1514225,5058797,3546064,56.91342616081238,74.7961950302124,70.39221739768982,6.162803535073875,68.80012607574463
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2067679,3464965,1397250,21.413763999938965,30.65347647666931,21.650607109069824,3.6141762308615575,23.430594825744627
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2851135,4623310,1772598,27.75311803817749,54.68170404434204,28.27082371711731,10.565527627195236,33.57278695106506
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,3035411,4220324,1185532,18.208579301834106,24.841785669326782,18.38447594642639,2.6047223907105685,19.634962558746338
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,4143101,5101236,958435,15.384195804595947,16.042820930480957,15.781987428665161,0.22228999891553788,15.75258493423462
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2958282,4571838,1613984,24.44700813293457,25.30453610420227,24.90375018119812,0.2999663556047577,24.84178285598755
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2734631,5710646,2976582,80.71188187599182,165.4041187763214,119.87146949768066,26.902546135640932,122.3821436405182
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2375508,5568153,3193439,126.17879033088684,164.43023204803467,140.14286828041077,12.922555568715785,142.77378311157227
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,751274,2941974,2189870,60.62630248069763,81.03161430358887,67.7642171382904,6.9004844391744715,68.78043360710144
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2772241,4881947,2110834,57.13330292701721,63.01893591880798,60.15157413482666,2.2125140562015595,60.18875432014465
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,1514225,5058797,3546064,125.00844311714172,184.3395562171936,169.9957127571106,20.857057867999437,164.43750162124633
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2067679,3464965,1397250,32.345507860183716,46.023643016815186,32.751235008239746,5.233393025621516,36.08494443893433
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2851135,4623310,1772598,41.33534359931946,44.24467968940735,43.517096757888794,1.05360430191634,43.060059785842896
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,3035411,4220324,1185532,27.493265628814697,41.09248232841492,28.170876502990723,5.178975621798703,30.807572650909425
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,4143101,5101236,958435,22.893900632858276,28.53766679763794,23.50354838371277,2.0864876972311035,24.396438217163087
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2958282,4571838,1613984,37.6134717464447,40.21398329734802,38.72683596611023,0.8468365613123459,38.744826555252075
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2734631,5710646,2976582,91.37970519065857,149.86923098564148,127.9677574634552,19.22732049322437,123.80016021728515
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2375508,5568153,3193439,134.64292526245117,164.22802901268005,147.4772653579712,9.649947450458306,149.42901372909546
Model_7,order_table,O_ORDERKEY,JOIN QUERY,751274,2941974,2189870,57.49909448623657,83.5072066783905,64.2312388420105,9.5020438997698,66.222501039505
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2772241,4881947,2110834,54.6707124710083,57.504087686538696,56.539642572402954,0.9984227987380743,56.48747210502624
Model_7,order_table,O_ORDERKEY,JOIN QUERY,1514225,5058797,3546064,148.3740837574005,195.03938174247742,171.87163949012756,16.78099485634343,168.38524861335753
