Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,49196.24711,57721.8392,642020,22.197296380996704,25.10862946510315,23.699437856674194,0.9324630466756748,23.654461765289305
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,67851.20181,90108.39592,664958,22.54909610748291,40.417869567871094,23.79937767982483,6.784502753295921,26.89920554161072
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,100822.07972,101996.89887,1469,12.550817012786865,13.27440619468689,12.810670614242554,0.24742394391662975,12.902816104888917
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,15700.15392,53294.14783,3115122,55.97995948791504,88.28913879394531,80.33002805709839,11.461715215762867,76.64426918029785
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,6461.21126,74313.99549,5052490,162.92975234985352,211.8494815826416,180.66155457496643,19.621239087812327,187.95397338867187
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,90363.30416,98538.47194,66028,16.942304611206055,26.71670889854431,23.506544828414917,3.9436123163187986,21.723766994476318
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,21535.75347,95268.19461,4242994,82.61871647834778,128.78629636764526,120.14931225776672,16.377999564733507,114.7421483039856
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,29729.38306,38497.65934,732199,25.191582441329956,41.87803030014038,29.739981174468994,5.655586777893995,31.734238147735596
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,9064.44904,35161.50607,2177867,43.08134722709656,44.2056999206543,43.58505725860596,0.41330638976053247,43.63482823371887
Model_1,lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,51123.7379,92359.87596,1757369,37.397597789764404,38.70484948158264,38.1181845664978,0.44691414465717316,38.01084651947021
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,49196.24711,57721.8392,642020,31.625903129577637,37.823354721069336,32.50139904022217,2.2824104207781266,33.35331234931946
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,67851.20181,90108.39592,664958,32.620331048965454,34.68714737892151,33.17201781272888,0.7376966195733232,33.50602498054504
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,100822.07972,101996.89887,1469,16.873346090316772,18.398473262786865,17.186163902282715,0.5634014121328454,17.30861325263977
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,15700.15392,53294.14783,3115122,83.37628102302551,192.42287373542786,172.28147649765015,38.71058966828538,159.01760869026185
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,6461.21126,74313.99549,5052490,322.3495354652405,481.00672221183777,383.92200922966003,60.37697588162665,386.04701042175293
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,90363.30416,98538.47194,66028,23.50254988670349,51.28764796257019,30.21133852005005,10.417790936153379,33.88333163261414
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,21535.75347,95268.19461,4242994,145.0110092163086,303.75712752342224,278.3788957595825,56.35084187244878,253.30262632369994
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,29729.38306,38497.65934,732199,34.18543577194214,57.568055391311646,47.246960163116455,8.91332338450939,44.31883668899536
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,9064.44904,35161.50607,2177867,76.59814405441284,91.82144975662231,81.32645535469055,5.278926570375338,82.01578459739684
Model_2,lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,51123.7379,92359.87596,1757369,57.70397686958313,73.07917666435242,59.346057176589966,5.652184293242253,62.23578305244446
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,112451.37617,401957.16566,926674,8.205304384231567,31.844773530960083,8.415181875228882,9.385326295300276,13.07512035369873
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,197707.72565,331022.48465,423763,5.0251219272613525,5.29994797706604,5.12308931350708,0.09314720785347178,5.139059019088745
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,114957.60822,375473.07287,906559,7.727558851242065,8.332231760025024,8.129344940185547,0.22063670681114927,8.10535717010498
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,377132.27338,430899.26377,7956,2.06481671333313,2.6045138835906982,2.419614315032959,0.20312894193894332,2.3584550857543944
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,129471.3623,294847.82758,737070,6.995999097824097,7.647644519805908,7.020960569381714,0.2529095963898826,7.198476266860962
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,535171.59884,535936.76203,0,2.036785125732422,3.1092190742492676,2.1037981510162354,0.4043674990691868,2.3432589530944825
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,50695.7925,189945.78611,782271,7.125921964645386,7.598650693893433,7.375781059265137,0.1532824970236122,7.384773635864258
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,432590.41557,518176.2325,821,2.0478272438049316,2.620499849319458,2.1427736282348633,0.21534401506149045,2.241521120071411
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,52187.58294,201536.38432,832725,7.240854501724243,7.904480218887329,7.544661521911621,0.21186698508169013,7.5582703113555905
Model_3,order_table,O_TOTALPRICE,SELECTION QUERY,523088.66241,531570.03012,2,1.9808809757232666,2.5025482177734375,2.090804100036621,0.18841947255550878,2.171556234359741
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,112451.37617,401957.16566,4794698,150.88464903831482,338.7928292751312,290.787650346756,64.9495524099656,273.1114538192749
