QUERY NO.,AVG. TIME TAKEN,MEDIAN OF EXECUTION TIME,STD. DEV. OF EXECUTION TIME
QUERY 1,81.88185667991638,96.2650420665741,38.64855250905726
QUERY 2,6.12266845703125,6.569251775741577,1.6844383749833902
QUERY 3,65.03706078529358,68.29600954055786,35.91946115842446
QUERY 4,10.068954133987427,11.507938385009766,3.9095712312064332
QUERY 5,24.58536329269409,22.174342155456543,11.331521674194056
QUERY 6,0.7735579490661622,0.7485699653625488,0.3809783950776344
QUERY 7,44.92094969749451,49.26882457733154,11.867377485098901
QUERY 8,34.22206130027771,35.85252928733826,13.642430605631741
QUERY 9,144.2650689125061,158.90926098823547,86.02937424673011
QUERY 10,69.6020682811737,65.40865588188171,48.02205325681551
QUERY 11,52.68151226043701,51.92131972312927,51.92131972312927
QUERY 12,110.81106033325196,121.98589777946472,121.98589777946472
