QUERY NO.,AVG. TIME TAKEN,MEDIAN OF EXECUTION TIME,STD. DEV. OF EXECUTION TIME
QUERY 1,72.86306591033936,63.27875471115112,39.629161404451544
QUERY 2,10.192735576629639,9.693374156951904,2.2091165445328285
QUERY 3,52.63986034393311,28.994391679763794,31.11823116498155
QUERY 4,9.348641395568848,10.849765539169312,2.6076945661112485
QUERY 5,37.708002376556394,33.94855546951294,16.328784140634603
QUERY 6,1.4387755870819092,1.16933012008667,0.8411682927450436
QUERY 7,59.84152488708496,54.779624462127686,22.318056537166818
QUERY 8,79.61580419540405,63.94637370109558,48.33283542172234
QUERY 9,127.26129789352417,37.89329385757446,119.49668633844784
QUERY 10,99.39583835601806,60.80110430717468,83.21863742699804
QUERY 11,89.17891278266907,68.0939257144928,68.0939257144928
QUERY 12,117.91553473472595,57.01327133178711,57.01327133178711
